doc_id,entity,type,start,end,span
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Dataset I,DATASET,69974,69983," system’s trustworthiness and safety.
A Dataset Information
We evaluate multi-agent colla"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Dataset M,DATASET,71358,71367," sample information for each benchmark.
Dataset Modality Format Choice Testing Size Domai"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,"Dataset
T",DATASET,83708,83717,"
D.1 Accuracy on entire MedQA 5-options Dataset
To provide a comprehensive evaluation of "
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,"Dataset
N",DATASET,100426,100435,"fection.
E.1.2 Medical Cases from MedQA Dataset
Now, let us look at the cases from the Me"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Paper C,PAPER,124047,124054,"monstrated by human experts.
36
NeurIPS Paper Checklist
1. Claims
Question: Do the main"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Accuracy,METRIC,23010,23018,"e Appendix C.2 for details).
5
Table 2: Accuracy (%) on Medical benchmarks with Solo/Gro"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Accuracy,METRIC,34933,34941,"of our Adaptive approach.
SoloGroupOurs
Accuracy
**
OursSoloGroup
ns
Figure 4: Our metho"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Accuracy,METRIC,37527,37535," complex medical knowledge.
Method Avg. Accuracy (%)
MDAgents (Ours) 71.8
+ MedRAG 75.2 "
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Accuracy,METRIC,37742,37750,"t of moderator’s review and
MedRAG. The Accuracy were averaged accuracy across all datas"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Accuracy,METRIC,40733,40741,"t of complexity selection of the query. Accuracy of each ablation on text-only (left),
t"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Accuracy,METRIC,40910,40918,": Impact of the number of agents on (a) Accuracy, (b) Number of API Calls on medical
ben"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Accuracy,METRIC,83673,83681,"on your analysis.
Report Generation
D.1 Accuracy on entire MedQA 5-options Dataset
To pr"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Accuracy,METRIC,84013,84021,"y results for various
methods.
Table 5: Accuracy (%) on entire MedQA 5-options dataset w"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Accuracy,METRIC,84095,84103,"aset with GPT-4o mini
.
Category Method Accuracy (%)
Single-agent
Zero-shot 71.5
3-shot "
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Accuracy,METRIC,85510,85518,"f Knowledge Enhancement with RAG
Method Accuracy (%)
MDAgents (baseline) 71.8
+ MedRAG 7"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Accuracy,METRIC,86731,86739,"orative settings.
Collaboration Setting Accuracy (%)
Sequential & No Discussion 39.0
Seq"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Accuracy,METRIC,87493,87501," decision-making processes.
24
Table 9: Accuracy (%) on Medical benchmarks with Solo (
 "
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Accuracy,METRIC,90052,90060,"tested with 3 random seeds
25
Table 10: Accuracy (%) on Medical benchmarks with Group (
"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Accuracy,METRIC,92584,92592,"re tested with 3 random seeds
Table 11: Accuracy (%) on Medical benchmarks with Our (
 )"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Accuracy,METRIC,93426,93434,"tested with 3 random seeds
26
Table 12: Accuracy (%) on Medical benchmarks with Solo/Gro"
NeurIPS-2024-richelieu-self-evolving-llm-based-agents-for-ai-diplomacy-Paper-Conference,Paper C,PAPER,70834,70841,"f specially designed
models.
20
NeurIPS Paper Checklist
The checklist is designed to en"
NeurIPS-2024-can-large-language-model-agents-simulate-human-trust-behavior-Paper-Conference,Paper 31122,PAPER,53568,53579,"can we learn from
homo silicus? Working Paper 31122, National Bureau of Economic Research, "
NeurIPS-2024-can-large-language-model-agents-simulate-human-trust-behavior-Paper-Conference,Paper C,PAPER,147859,147866,"d without CoT’s GPT-4’s BDI.
50
NeurIPS Paper Checklist
1. Claims
Question: Do the main"
